1,Köppel Roger (1965),Ja,121098,M,bisherig,SVP,1,zurich
2,Rutz Gregor (1972),Ja,120722,M,bisherig,SVP,1,zurich
3,Heer Alfred (Fredi) (1961),Ja,118987,M,bisherig,SVP,1,zurich
4,Matter Thomas (1966),Ja,115138,M,bisherig,SVP,1,zurich
5,Vogt Hans-Ueli (1969),Ja,117018,M,bisherig,SVP,1,zurich
6,Steinemann Barbara (1976),Ja,114616,F,bisherig,SVP,1,zurich
7,Walliser Bruno (1966),Ja,110660,M,bisherig,SVP,1,zurich
9,Tuena Mauro (1972),Ja,111037,M,bisherig,SVP,1,zurich
10,Haab Martin (1962),Ja,109995,M,bisherig,SVP,1,zurich
11,Schläpfer Therese (1959),Ja,110490,F,bisherig,SVP,1,zurich
1,Barrile Angelo (1976),Ja,83219,M,bisherig,SP,2,zurich
2,Seiler Graf Priska (1968),Ja,88221,F,bisherig,SP,2,zurich
3,Badran Jacqueline (1961),Ja,109992,F,bisherig,SP,2,zurich
4,Meyer Mattea (1987),Ja,89270,F,bisherig,SP,2,zurich
5,Marti Min Li (1974),Ja,88371,F,bisherig,SP,2,zurich
6,Molina Fabian (1990),Ja,81905,M,bisherig,SP,2,zurich
8,Widmer Céline (1978),Ja,76598,F,,SP,2,zurich
1,Fiala Doris (1957),Ja,71977,F,bisherig,FDP,3,zurich
2,Portmann Hans-Peter (1963),Ja,66673,M,bisherig,FDP,3,zurich
3,Walti Beat (1968),Ja,67192,M,bisherig,FDP,3,zurich
4,Sauter Regine (1966),Ja,64357,F,bisherig,FDP,3,zurich
8,Silberschmidt Andri (1994),Ja,60538,M,,FDP,3,zurich
1,Moser Tiana Angelina (1979),Ja,90226,F,bisherig,GLP,4,zurich
2,Bäumle Martin (1964),Ja,76229,M,bisherig,GLP,4,zurich
3,Gredig Corina (1987),Ja,60493,F,,GLP,4,zurich
4,Mäder Jörg (1975),Ja,55718,M,,GLP,4,zurich
5,Bellaïche Judith (1971),Ja,54179,F,,GLP,4,zurich
7,Schaffner Barbara (1968),Ja,54846,F,,GLP,4,zurich
1,Kutter Philipp (1975),Ja,29107,M,bisherig,CVP,5,zurich
1,Prelicz-Huber Katharina (1959),Ja,70499,F,,GPS,6,zurich
